상호,주소,가격,셀프,상표,시구,lat,lng
㈜늘품오일 한길셀프주유소,인천 서구 검단로 861(불로동),1075,Y,알뜰주유소,서구,37.6195764672622,126.692894954824
이마트24서비스 김포본점주유소,경기 김포시 양촌읍 김포대로 1581,1099,N,SK에너지,김포시,37.6622872292097,126.661744090694
서김포IC주유소,경기 김포시 양촌면 김포대로 1634,1095,N,GS칼텍스,김포시,37.6640511474468,126.656284777959
대성석유㈜통진대성주유소,경기 김포시 통진읍 하성로 58,1085,N,GS칼텍스,김포시,37.6809642514107,126.632496728156
카닥일산주유소,경기 고양시 일산동구 백마로 54 (장항1동),1079,N,GS칼텍스,고양시,37.6438555808385,126.761811239755
신화상사㈜구도일주유소신화일산,경기 고양시 일산동구 백마로 36 (장항동),1079,N,S-OIL,고양시,37.6427579807759,126.76068656217
씨앤씨네트웍스 직영 제7주유소,경기 수원시 권선구 권선로 644,1095,Y,GS칼텍스,수원시,37.2602770993024,127.021671483783
수원주유소,경기 수원시 팔달구 인계로 76 (인계동,1095,Y,S-OIL,수원시,37.2684834674465,127.025965489708
뉴금강주유소,경기 수원시 권선구 매송고색로 577,1068,N,현대오일뱅크,수원시,37.2475863921506,126.967817763341
지에스칼텍스㈜행정타운주유소,경기 수원시 권선구 권선로 98,1096,N,GS칼텍스,수원시,37.2609675136551,126.963157284984
대성석유㈜방화대성주유소,서울 강서구 양천로 176,1175,N,GS칼텍스,강서구,37.5728980859386,126.823440027913
대성석유㈜마곡대성주유소,서울 강서구 강서로 457,1185,N,GS칼텍스,강서구,37.5662430987764,126.840421267348
신현주유소,인천 서구 봉수대로501번길2 (신현동),1057,Y,S-OIL,서구,37.5208318091222,126.662081901877
강남주유소,인천 서구 봉수대로 184,1037,N,SK에너지,서구,37.4920831079382,126.661448869967
