rank,diff,title,singer,album
1,0,Dynamite,방탄소년단,Dynamite (DayTime Version)
2,1,힘든 건 사랑이 아니다,임창정,힘든 건 사랑이 아니다
3,-1,Lovesick Girls,BLACKPINK,THE ALBUM
4,1,취기를 빌려 (취향저격 그녀 X 산들),산들,취기를 빌려 (취향저격 그녀 X 산들)
5,-1,DON'T TOUCH ME,환불원정대,DON'T TOUCH ME
6,0,잠이 오질 않네요,장범준,잠이 오질 않네요
7,0,오래된 노래,스탠딩 에그,오래된 노래
8,3,딩가딩가 (Dingga),마마무 (Mamamoo),딩가딩가 (Dingga)
9,-1,Savage Love (Laxed - Siren Beat) (BTS Remix),Jawsh 685,Savage Love (Laxed - Siren Beat) [BTS Remix]
10,-1,내 마음이 움찔했던 순간 (취향저격 그녀 X 규현),규현 (KYUHYUN),내 마음이 움찔했던 순간 (취향저격 그녀 X 규현)
11,-1,When We Disco (Duet with 선미),박진영,When We Disco
12,2,I CAN’T STOP ME,TWICE (트와이스),Eyes wide open
13,-1,눈누난나 (NUNU NANA),제시 (Jessi),NUNA
14,4,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,장범준,멜로가 체질 OST Part 3
15,0,How You Like That,BLACKPINK,How You Like That
16,1,에잇(Prod.&Feat. SUGA of BTS),아이유,에잇
17,-1,마리아 (Maria),화사 (Hwa Sa),María
18,-5,놓아줘 (with 태연),Crush,with HER
19,0,Dolphin,오마이걸 (OH MY GIRL),NONSTOP
20,-100,가을밤에 든 생각,잔나비,잔나비 소곡집 l
21,-1,어떻게 지내 (Prod. By VAN.C),오반,어떻게 지내
22,0,늦은 밤 너의 집 앞 골목길에서,노을,늦은 밤 너의 집 앞 골목길에서
23,-2,아로하,조정석,슬기로운 의사생활 OST Part 3
24,0,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악동뮤지션),항해
25,-2,홀로,이하이,홀로
26,3,METEOR,창모 (CHANGMO),Boyhood
27,-2,Blueming,아이유,Love poem
28,-2,Dance Monkey,Tones And I,The Kids Are Coming
29,1,거짓말이라도 해서 널 보고싶어,백지영,거짓말이라도 해서 널 보고싶어
30,-3,Downtown Baby,블루 (BLOO),Downtown Baby
31,1,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,`키스 먼저 할까요?` OST Part.3
32,-1,Memories,Maroon 5,Memories
33,1,서면역에서,순순희,서면역에서
34,-6,다시 여기 바닷가,"싹쓰리 (유두래곤, 린다G, 비룡)",다시 여기 바닷가
35,-2,사랑은 지날수록 더욱 선명하게 남아,전상근,한 걸음 : 흔적
36,-1,작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey),방탄소년단,MAP OF THE SOUL : PERSONA
37,1,오늘도 빛나는 너에게 (To You My Light) (Feat.이라온),마크툽 (MAKTUB),Red Moon : To You My Light
38,-2,살짝 설렜어 (Nonstop),오마이걸 (OH MY GIRL),NONSTOP
39,-2,Bad Boy,청하,Bad Boy
40,0,우리 왜 헤어져야 해,신예영,우리 왜 헤어져야 해
41,0,2002,Anne-Marie,Speak Your Mind (Deluxe)
42,-3,너도 아는,폴킴,너도 아는
43,4,나랑 같이 걸을래 (바른연애 길잡이 X 적재),적재,나랑 같이 걸을래 (바른연애 길잡이 X 적재)
44,-1,마음을 드려요,아이유,사랑의 불시착 OST Part 11
45,-1,"사랑 못해, 남들 쉽게 다 하는 거",먼데이 키즈 (Monday Kiz),"사랑 못해, 남들 쉽게 다 하는 거"
46,-4,사랑하게 될 줄 알았어,전미도,슬기로운 의사생활 OST Part 11
47,-1,처음처럼,엠씨더맥스 (M.C the MAX),CEREMONIA
48,-3,Don't Start Now,Dua Lipa,Future Nostalgia
49,-1,덤디덤디 (DUMDi DUMDi),(여자)아이들,덤디덤디 (DUMDi DUMDi)
50,0,안녕,폴킴,호텔 델루나 OST Part.10
51,0,봄날,방탄소년단,YOU NEVER WALK ALONE
52,28,AYA,마마무 (Mamamoo),TRAVEL
53,-1,Pretty Savage,BLACKPINK,THE ALBUM
54,3,이제 나만 믿어요,임영웅,내일은 미스터트롯 우승자 특전곡
55,8,행복해,송하예,Happy
56,0,아무노래,지코 (ZICO),아무노래
57,-8,Ice Cream (with Selena Gomez),BLACKPINK,Ice Cream (with Selena Gomez)
58,10,소확행,임창정,힘든 건 사랑이 아니다
59,-1,12:45 (Stripped),Etham,12:45 (Stripped)
60,7,별을 담은 시 (Ode To The Stars),마크툽 (MAKTUB),Red Moon : Ode To The Stars
61,-2,시작,가호 (Gaho),이태원 클라쓰 OST Part.2
62,-7,Summer Hate (Feat. 비),지코 (ZICO),RANDOM BOX
63,18,사실 나는 (Feat.전건호),경서예지,사실 나는
64,-11,Not Shy,ITZY (있지),Not Shy
65,-4,Love poem,아이유,Love poem
66,0,너를 만나,폴킴,너를 만나
67,8,도망가,MINO (송민호),TAKE
68,-8,가을 타나 봐,바이브,가을 타나 봐
69,-5,Maniac,Conan Gray,Maniac
70,-16,너의 곁에만 맴돌아,노을,너의 곁에만 맴돌아
71,-9,보라빛 밤 (pporappippam),선미,보라빛 밤 (pporappippam)
72,-7,ON,방탄소년단,MAP OF THE SOUL : 7
73,-3,밤새 (취향저격 그녀 X 카더가든),카더가든,밤새 (취향저격 그녀 X 카더가든)
74,-5,Paris In The Rain,Lauv,I met you when I was 18. (the playlist)
75,3,축하해 (Prod. By VAN.C),오반,축하해
76,-3,취했나봐,황인욱,취했나봐
77,-6,좋은 사람 있으면 소개시켜줘,조이 (JOY),슬기로운 의사생활 OST Part 2
78,-4,그때 그 아인,김필,이태원 클라쓰 OST Part.6
79,0,시든 꽃에 물을 주듯,HYNN (박혜원),시든 꽃에 물을 주듯
80,-4,Into the I-LAND,아이유,I-LAND Part.1 Signal Song
81,-4,Psycho,Red Velvet (레드벨벳),‘The ReVe Festival’ Finale
82,-100,니 이름 불렀나 봐,V.O.S,니 이름 불렀나 봐
83,-11,잠이 들어야 (Feat. 헤이즈),로꼬,SOME TIME
84,3,Dancing Cartoon,볼빨간사춘기,Filmlet
85,-3,bad guy,Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?"
86,-3,Painkiller,Ruel,Painkiller
87,-3,하루도 그대를 사랑하지 않은 적이 없었다,임창정,하루도 그대를 사랑하지 않은 적이 없었다
88,0,첫 줄,신용재 (2F),Dear
89,-4,사랑하고 싶지 않아 (바른연애 길잡이 X XIA (준수)),김준수,사랑하고 싶지 않아 (바른연애 길잡이 X XIA (준수))
90,-4,나비와 고양이 (feat.백현 (BAEKHYUN)),볼빨간사춘기,사춘기집Ⅱ 꽃 본 나비
91,-2,Stuck with U,Ariana Grande,Stuck with U
92,-2,반만,진민호,반만
93,4,HIP,마마무 (Mamamoo),reality in BLACK
94,0,사랑이란 멜로는 없어,전상근,사랑이란 멜로는 없어
95,-4,밤하늘의 저 별처럼,헤이즈 (Heize),밤하늘의 저 별처럼 (브람스를 좋아하세요? OST 스페셜 트랙)
96,-4,화려하지 않은 고백,규현 (KYUHYUN),슬기로운 의사생활 OST Part 4
97,-100,MAGO,여자친구 (GFRIEND),回:Walpurgis Night
98,-3,행복하니,케이시 (Kassy),추(秋)억
99,-100,My Love (Duet Ver.),이승철,이승철 35주년 기념 앨범 Special 'My Love'
100,-100,너의 하루 (바른연애 길잡이 X 로꼬),로꼬,너의 하루 (바른연애 길잡이 X 로꼬)
