랭킹,채널명,카테고리,구독자수(단위:만),조회수(단위:만)
1,BLACKPINK,음악,5420,1393174
2,Big Hit Labels,엔터테인먼트,4890,1337586
3,BANGTANTV,음악,4180,606329
4,Boram Tube Vlog [보람튜브 브이로그],키즈,2720,1161168
5,SMTOWN,엔터테인먼트,2540,1886665
6,1MILLION Dance Studio,댄스,2280,595311
7,1theK (원더케이),엔터테인먼트,2150,1828904
8,JYP Entertainment,엔터테인먼트,1940,1127116
9,JFlaMusic,음악,1660,314662
10,Mnet K-POP,엔터테인먼트,1650,1074168
11,KBS World,엔터테인먼트,1480,106880
12,officialpsy,음악,1440,806867
13,Boram Tube ToysReview [보람튜브 토이…,키즈,1390,461223
14,League of Legends,Brand,1350,484840
15,BIGBANG,음악,1300,618866
16,Jane ASMR 제인,ASMR,1080,335757
17,Google,기업,955,253220
18,DuDuPopTOY,키즈,944,408051
19,TwinRoozi 쌍둥이 루지,키즈,941,511901
20,TWICE,음악,930,11842
21,Stone Music Entertainment,엔터테인먼트,926,684288
22,With Kids[위드키즈],키즈,913,431855
23,MBCkpop,엔터테인먼트,885,653625
24,핑크퐁 (인기 동요・동화),키즈,879,508430
25,Larva TUBA,애니,855,365197
26,Toymong tv 토이몽TV,키즈,815,331551
27,서은이야기[SeoeunStory],키즈,805,356964
28,MBCentertainment,엔터테인먼트,788,1219202
29,Mnet Official,엔터테인먼트,784,776233
30,iKON,음악,751,178786
31,MariAndKids,키즈,701,217876
32,Boram Tube [宝蓝和朋友们],키즈,695,157458
33,SonicToy소닉토이,키즈,683,282846
34,EXO,음악,675,13275
35,Hongyu ASMR 홍유,ASMR,669,166041
36,M2,엔터테인먼트,656,439156
37,Sungha Jung,음악,653,181371
38,JTBC Entertainment,엔터테인먼트,624,807731
39,ALL THE K-POP,엔터테인먼트,603,346760
40,SEVENTEEN,음악,593,158065
41,YG ENTERTAINMENT,엔터테인먼트,585,155419
42,PONY Syndrome,뷰티,577,33420
43,PinkyPopTOY,키즈,563,81467
44,GOT7,음악,558,6336
45,TOMORROW X TOGETHER OFFICIAL,음악,554,21913
46,KBS Kpop,엔터테인먼트,547,366332
47,Maangchi,Korean,517,55206
48,Samsung,기업,513,77813
49,콩순이・시크릿 쥬쥬 [Kongsuni・Secret Jo…,키즈,512,417572
50,MAMAMOO,음악,508,105242
51,2NE1,음악,507,182583
52,스브스케이팝 / SBS KPOP,엔터테인먼트,506,299752
53,ToyMart TV,키즈,502,214706
54,[Awesome Haeun]어썸하은,댄스,497,73178
55,Stray Kids,음악,491,49598
56,SBS Entertainment,엔터테인먼트,490,518776
57,[햄지]Hamzy,먹방,489,128931
58,문복희 Eat with Boki,먹방,480,94912
59,쏘영 Ssoyoung,먹방,474,64461
60,SBS Drama,드라마,473,469624
61,이지금 [IU Official],음악,472,21757
62,tvN DRAMA,드라마,463,447237
63,백종원의 요리비책 Paik's Cuisine,푸드,461,36669
64,starshipTV,엔터테인먼트,454,248559
65,베이비버스 -인기 동요・동화,키즈,453,281545
66,스위트티비 SweetTV,키즈,452,199431
67,[장난감티비]TOYTV,키즈,431,197027
68,미니특공대TV,키즈,430,231888
69,Robocar POLI TV,키즈,428,356502
70,떵개떵,먹방,423,227022
71,Coreano Vlogs,외국인,418,45910
72,KBS Entertain,엔터테인먼트,409,581654
73,뽀로로(Pororo),키즈,407,537695
74,[Dorothy]도로시,먹방,406,93160
75,ITZY,음악,406,47213
76,MBCdrama,드라마,403,451058
77,TOY GUMA,키즈,401,131954
78,Raon Lee,음악,399,78550
79,BT21,Brand,398,26742
80,Evan Kids,키즈,397,7426
81,하루한끼 one meal a day,푸드,396,34598
82,영국남자 Korean Englishman,외국인,393,12607
83,Jaeguchi,모음,391,284200
84,SBS NOW / SBS 공식 채널,엔터테인먼트,383,378600
85,크림히어로즈,펫,382,125989
86,워크맨-Workman,프로그램,380,52734
87,허팝Heopop,기획,375,285243
88,Cooking tree 쿠킹트리,푸드,372,31202
89,waveya 2011,댄스,372,131162
90,JTBC Drama,드라마,370,362070
91,슈슈토이 Shushu ToysReview,키즈,364,127341
92,까니짱 [ G-NI ],먹방,362,81588
93,SBS TV동물농장x애니멀봐,프로그램,361,313475
94,Red Velvet,음악,356,21276
95,Milana FamilyShow,외국인,351,108785
96,WINNER,음악,348,103726
97,Lime Tube[라임튜브],키즈,348,238037
98,채널 NCT DAILY,음악,347,5845
99,로미유 스토리[Romiyu Story],키즈,346,86809
100,Boram y Juguetes,Korean,331,75818
101,JaeYeol ASMR 재열,ASMR,330,77058
102,Backhoe TV,키즈,329,136570
103,EBS 키즈,키즈,326,382472
104,KBS Drama,드라마,319,372531
105,리월드RIWORLD,키즈,318,127206
106,백현 Baekhyun,음악,318,3946
107,KARD,음악,312,51431
108,TV-People,팬심,312,336799
109,CoCosToy 꼬꼬스토이,키즈,309,163517
110,MariAndToys,키즈,308,51014
111,ARTBEAT,댄스,302,64380
112,tvN,엔터테인먼트,292,376077
113,drawholic,취미,291,28141
114,tzuyang쯔양,먹방,290,11800
115,FRAN,먹방,286,87394
116,ASTRO 아스트로,음악,285,26194
117,럭키강이 LuckyKang i,키즈,285,115277
118,사나고 Sanago,취미,280,31691
119,새송 Saesong,음악,279,25113
120,제이제이 튜브 [JJ Tube],키즈,279,172508
121,양수빈,먹방,279,47726
122,유디티TV,먹방,273,52715
123,imlisarhee,댄스,272,35164
