기간	자치구	주택종류별	합계	2019년	2018년	2017년	2016년	2015년	2014년	2013년	2012년	2011년	2010년	2005~2009년	2000~2004년	1990~1999년	1980~1989년	1979년 이전
2019	서울시	계	2,953,964	65,363	73,312	68,328	86,910	71,212	81,695	62,927	67,665	68,145	50,248	299,124	592,177	806,133	400,831	159,894
2019	서울시	단독주택	315,566	1,100	2,213	2,468	2,113	1,409	1,200	1,060	1,306	1,275	1,429	5,546	13,148	120,780	64,888	95,631
2019	서울시	아파트	1,720,691	36,688	39,870	27,043	32,944	28,612	46,126	28,608	28,191	41,252	33,900	236,499	372,084	475,867	243,335	49,672
2019	서울시	연립주택	110,968	820	555	432	977	732	911	1,102	1,192	659	376	3,401	10,553	50,349	34,501	4,408
2019	서울시	다세대주택	777,205	26,454	30,138	38,038	50,525	40,193	33,211	31,943	36,665	24,524	14,192	52,480	193,787	149,259	50,035	5,761
2019	서울시	비거주용 건물내 주택	29,534	301	536	347	351	266	247	214	311	435	351	1,198	2,605	9,878	8,072	4,422
2019	종로구	계	46,440	625	240	2,892	303	474	548	792	353	257	222	4,503	9,081	13,446	4,515	8,189
2019	종로구	단독주택	12,421	44	64	65	49	59	48	42	48	50	43	336	548	2,523	1,751	6,751
2019	종로구	아파트	15,290	263	X	2,587	X	167	286	485	112	118	X	3,020	3,443	3,596	262	951
2019	종로구	연립주택	5,459	72	X	X	15	7	43	48	54	X	X	115	978	2,299	1,799	29
2019	종로구	다세대주택	12,349	234	159	227	229	233	164	204	133	76	172	988	4,046	4,750	522	212
2019	종로구	비거주용 건물내 주택	921	12	17	13	10	8	7	13	6	13	7	44	66	278	181	246
2019	중구	계	41,754	1,261	719	818	1,082	434	904	470	884	2,605	1,041	4,060	10,826	9,381	2,033	5,236
2019	중구	단독주택	6,035	9	9	14	18	27	21	12	10	13	12	89	266	1,560	735	3,240
2019	중구	아파트	25,823	922	534	519	863	12	643	117	609	2,516	992	3,544	7,825	4,867	265	1,595
