상호명,지점명,도로명주소,경도,위도
벤츠스마트원주서비스센타,원주서비스센터,강원도 원주시 판부면 매봉길 48-8,127.944676423922,37.3202137404413
벤츠서현대리점,서현대리점,경기도 성남시 분당구 만세길 33-8,127.154342179152,37.3847684459635
벤츠마이스터,,경상북도 포항시 북구 장량로 117,129.393221424303,36.0821381361087
벤츠자동차,,광주광역시 북구 무등로 247,126.91059727025,35.1641616883159
메르세데스벤츠대구대리점,대구대리점,대구광역시 남구 앞산순환로 537,128.58346058358802,35.8334305060055
벤츠대구경북서비스,,대구광역시 서구 와룡로 433,128.537816449082,35.87153522027
벤츠자동차,,부산광역시 사상구 가야대로 45,128.977540436508,35.1519194914048
벤츠자동차,,부산광역시 수영구 수영로 449,129.109600292334,35.1460407657316
신항벤츠서비스센터,,부산광역시 강서구 녹산산업북로193번길 27,128.844500322777,35.0988979397753
벤츠용답전시장,,서울특별시 성동구 가람길 277,127.06863060156999,37.5590295987674
벤츠방배서비스센터,,서울특별시 서초구 남부순환로294길 22,126.990614305718,37.4732121353125
벤츠도곡에이에스센터,,서울특별시 강남구 남부순환로365길 9,127.039006096907,37.4861313275051
벤츠방배익스프레스서비스센터,,서울특별시 서초구 방배로 137,126.994285198642,37.486119521495496
벤츠용답서비스센터,용답서비스센터,서울특별시 성동구 가람길 277,127.06863060156999,37.5590295987674
벤츠강남전시장,강남전시장,서울특별시 강남구 도산대로 239,127.03327742710199,37.521766357147605
강남벤츠전시장,,서울특별시 강남구 강남대로 284,127.03247034740801,37.4887631346515
벤츠방배전시장,방배전시장,서울특별시 서초구 방배로 137,126.994285198642,37.486119521495496
벤츠논현서스센터,,서울특별시 강남구 언주로 619,127.035547181068,37.5115399418198
mercedes benz,,서울특별시 강남구 언주로 619,127.035547181068,37.5115399418198
효성벤츠,강남대로전시장,서울특별시 강남구 강남대로 284,127.03247034740801,37.4887631346515
벤츠강남대로서비스센터,,서울특별시 강남구 강남대로 284,127.03247034740801,37.4887631346515
벤츠코리아,,서울특별시 강남구 역삼로 605,127.066135408477,37.5059018447825
메르세데스벤츠코리아,,서울특별시 중구 한강대로 416,126.973739611968,37.5554947274348
인천벤츠서비스센터,,인천광역시 중구 축항대로86번길 56,126.602994611623,37.4528842660268
벤츠,인천전시장,인천광역시 남동구 인주대로 651,126.709308188195,37.449894459179895
벤츠트럭,전주지점,전라북도 전주시 덕진구 석소2길 30,127.169155875659,35.83529182086
메르세데스벤츠천안서비스센터,천안서비스센터,충청남도 천안시 서북구 한들1로 9-1,127.115239095553,36.8235351456634
