상호명,지점명,도로명주소,경도,위도
BMW도이치모터스,원주서비스센터,강원도 원주시 북원로 2539,127.941093932604,37.370962662866894
BMW,,강원도 평창군 진부면 진부중앙로 68,128.55885106623302,37.6372589884463
BMW공식딜러산호모터스,,경기도 안양시 동안구 시민대로 401,126.974357249058,37.3970136009272
BMW휴게텔,,경기도 광주시 오포읍 능평로 189,127.176200338477,37.3458787308895
BMW,,경기도 용인시 수지구 풍덕천로139번길 7,127.096190294221,37.3242181610068
BMWStation,,경기도 수원시 권선구 동수원로 258,127.035374298087,37.2526242067365
BMW코오롱모터스오포서비스센터,오포서비스센터,경기도 광주시 오포읍 신현로 86-5,127.15674791532,37.3595102600701
BMW,,경기도 화성시 향남읍 평1길 15,126.909013239947,37.1326553117605
BMWash세차,,경상남도 김해시 김해대로2324번길 28-17,128.879650456148,35.22506146180471
BMW카페모토라드,합천,경상남도 합천군 대병면 합천호수로 525,128.053751879082,35.544396998977795
BMW라이브,,경상북도 구미시 산호대로 187,128.38501079191002,36.100532936274796
BMW광주상무패스트레인서비스센터,광주상무패스트레인서비스센터,광주광역시 서구 상무대로 855,126.855143861861,35.1500304122837
BMW,,대구광역시 중구 국채보상로 611,128.598120429496,35.870961704704705
BMW한독모터스패스트레인서비스센터,패스트레인서비스센터,대구광역시 서구 달구벌대로 1841,128.56575775237,35.86089745031521
BMW한독모터스서대구중앙서비스센터,서대구중앙서비스센터,대구광역시 서구 와룡로 425,128.537346735156,35.8708523153417
모토라드대구비엠더블유모터사이클,,대구광역시 동구 공항로 291,128.643071279377,35.893190339685
비엠더블유전포서비스,,부산광역시 부산진구 동성로 135,129.064235311527,35.1605544893346
BMW모터싸이클,,부산광역시 수영구 수영로 657,129.114251178951,35.164395395666105
Bmw모터스,,부산광역시 남구 수영로 342,129.10318960358,35.1385907225354
BMWMINI바바리안모터스,,서울특별시 양천구 목동동로 177,126.870432036009,37.5216186404237
BMW도이치모터스동대문서비스센터,동대문서비스센터,서울특별시 동대문구 고미술로 91,127.056660710326,37.5649085123205
BMW도이치모터스,대치전시장,서울특별시 강남구 도곡로 411,127.055395411064,37.4974276112115
BMW코오롱모터스성산서비스센터,성산서비스센터,서울특별시 마포구 월드컵로36길 22,126.90392659633801,37.5666077661613
bmwmotorradservice,,서울특별시 용산구 한남대로 37,127.008092397987,37.5322169411704
BMW,,서울특별시 강남구 영동대로 410,127.065434002107,37.5059143186234
비엠더블유용산서비스,,서울특별시 용산구 청파로 241,126.970564184636,37.54114950056571
BMW한독모터스방배판매전시장,,서울특별시 서초구 방배로 218,126.990871623636,37.492749201489396
비엠더블유판매전시장,,서울특별시 서초구 방배로 107,126.996028720217,37.483422175358896
비엠더블유판매전시장,,서울특별시 용산구 이촌로 260,126.97613515619801,37.5185366105608
비엠더블유,,서울특별시 금천구 시흥대로 491,126.897994306767,37.477448497046105
BMW도이치모터스송파전시장,송파전시장,서울특별시 송파구 백제고분로 251,127.094538891367,37.502861150399205
비엠더블유코오롱모터스교대지점,교대지점,서울특별시 서초구 효령로53길 62,127.01324089552799,37.4875048001417
BMW도이치모터스송파서비스센터,송파서비스센터,서울특별시 송파구 도곡로 444,127.077672222469,37.5049742946275
비엠더블유방배서비스,,서울특별시 서초구 방배로 218,126.990871623636,37.492749201489396
BMWMOTORRAD,,서울특별시 용산구 한남대로 35,127.008309733975,37.5320385567049
비엠더블유강북전시장,강북전시장,서울특별시 강북구 도봉로 101,127.029030331765,37.618053179274995
우성비엠더블유,,서울특별시 동대문구 장한로5길 41,127.06411889593599,37.5650129230071
BMW커피숍,,서울특별시 광진구 아차산로78길 177,127.108246912721,37.547513661881105
BMW용산패스트레인서비스센터,용산패스트레인서비스센터,서울특별시 용산구 원효로 242,126.96829356078199,37.5392284794162
BMWBARO,,서울특별시 은평구 연서로29길 20-5,126.91825933452,37.619648627027004
BMW서비스,,울산광역시 남구 돋질로 147,129.321655664432,35.5407178329858
BMW드라이빙센터,,인천광역시 중구 공항동로 136,126.485417960457,37.4625362225378
bmw,,전라남도 순천시 충효로 93,127.514538716161,34.9473224962319
비엠더블유내쇼날모터스서비스센터,,전라북도 전주시 덕진구 신복로 66,127.10766224343901,35.8567166684587
비엠더블유모토라드천,,충청남도 천안시 서북구 직산읍 천안대로 1481,127.147345784333,36.872720740949504
BMW,,충청남도 천안시 서북구 쌍용대로 245,127.135317720994,36.819303195038295
BMW자동차용품,,충청남도 서산시 학동3로 6-4,126.46202569699899,36.7860625114442
비엠더블유청주서비스,,충청북도 청주시 흥덕구 가로수로754번길 15,127.383060171802,36.6197813647816
BMW대리점,,충청북도 청주시 흥덕구 가로수로754번길 15,127.383060171802,36.6197813647816
BMW,,충청북도 청주시 상당구 월평로184번길 19,127.50371155857799,36.609719617280504
